,open,close,high,low,volume,money,code
2025-02-26,6.45,6.52,6.56,6.44,3812101.0,24856287.5,000007.XSHE
2025-02-27,6.51,6.49,6.56,6.42,3884550.0,25196114.0,000007.XSHE
2025-02-28,6.48,6.24,6.48,6.24,5837866.0,37094171.1,000007.XSHE
2025-03-03,6.28,6.33,6.48,6.28,5786100.0,36825114.5,000007.XSHE
2025-03-04,6.35,6.46,6.47,6.32,4036150.0,25860965.5,000007.XSHE
2025-03-05,6.46,6.41,6.46,6.3,4201850.0,26726447.5,000007.XSHE
2025-03-06,6.41,6.43,6.45,6.36,3430158.0,22022316.42,000007.XSHE
2025-03-07,6.43,6.37,6.46,6.34,3399660.0,21741313.6,000007.XSHE
2025-03-10,6.37,6.39,6.44,6.32,3005760.0,19174613.64,000007.XSHE
2025-03-11,6.34,6.35,6.37,6.27,3200900.0,20200684.0,000007.XSHE
2025-03-12,6.35,6.26,6.38,6.24,4742594.0,29780687.9,000007.XSHE
2025-03-13,6.29,6.2,6.31,6.15,6044200.0,37563424.0,000007.XSHE
2025-03-14,6.21,6.35,6.37,6.17,6605801.0,41408419.28,000007.XSHE
2025-03-17,6.37,6.37,6.53,6.32,5334777.0,34143170.79,000007.XSHE
2025-03-18,6.44,6.44,6.45,6.33,4090712.0,26193725.04,000007.XSHE
2025-03-19,6.41,6.32,6.45,6.31,3409862.0,21704064.8,000007.XSHE
2025-03-20,6.34,6.3,6.39,6.28,3316201.0,21001249.31,000007.XSHE
2025-03-21,6.28,6.26,6.33,6.14,5222688.0,32611930.76,000007.XSHE
2025-03-24,6.26,6.0,6.3,5.95,7175001.0,43798372.98,000007.XSHE
2025-03-25,6.0,6.06,6.08,5.83,5464500.0,32450649.0,000007.XSHE
2025-03-26,6.09,6.36,6.48,5.99,11613700.0,73152461.5,000007.XSHE
2025-03-27,6.3,6.35,6.39,6.21,4742700.0,29881719.0,000007.XSHE
2025-03-28,6.32,6.2,6.32,6.16,3394000.0,21155514.0,000007.XSHE
2025-03-31,6.2,6.09,6.2,5.97,3264500.0,19811278.0,000007.XSHE
2025-04-01,6.08,6.13,6.24,6.08,3537100.0,21768439.0,000007.XSHE
2025-04-02,6.13,6.14,6.21,6.08,2477300.0,15210813.0,000007.XSHE
2025-04-03,6.12,6.2,6.22,6.1,3108999.0,19206391.82,000007.XSHE
2025-04-07,6.08,5.58,6.08,5.58,6963800.0,39393128.0,000007.XSHE
2025-04-08,5.44,5.37,5.58,5.18,6571465.0,35143987.15,000007.XSHE
2025-04-09,5.35,5.5,5.54,4.87,6150000.0,32136134.7,000007.XSHE
2025-04-10,5.6,5.82,5.91,5.6,6838364.0,39698166.96,000007.XSHE
2025-04-11,5.8,5.92,6.05,5.78,5044700.0,30037149.0,000007.XSHE
2025-04-14,5.98,6.23,6.51,5.81,20584246.0,131135407.51,000007.XSHE
2025-04-15,6.21,6.03,6.24,5.96,13805167.0,83700231.05,000007.XSHE
2025-04-16,6.02,5.98,6.08,5.81,7169897.0,42663831.09,000007.XSHE
2025-04-17,5.95,6.08,6.14,5.91,7791900.0,47196442.0,000007.XSHE
2025-04-18,6.1,6.16,6.22,5.96,7562500.0,46198461.0,000007.XSHE
2025-04-21,6.16,6.46,6.46,6.1,12310400.0,77976411.89,000007.XSHE
2025-04-22,6.46,6.69,6.73,6.44,14224367.0,93898494.5,000007.XSHE
2025-04-23,6.77,6.62,6.79,6.59,10510337.0,70216282.53,000007.XSHE
2025-04-24,6.63,6.51,6.68,6.32,8956386.0,58018443.56,000007.XSHE
2025-04-25,6.7,7.16,7.16,6.45,41731073.0,287576574.1,000007.XSHE
2025-04-28,7.06,6.69,7.06,6.56,29461311.0,199384158.79,000007.XSHE
2025-04-29,6.75,6.82,6.92,6.66,13230826.0,90030970.32,000007.XSHE
2025-04-30,6.8,6.72,6.89,6.68,9936043.0,67176318.74,000007.XSHE
2025-05-06,6.75,6.82,6.94,6.69,10604166.0,72322522.39,000007.XSHE
2025-05-07,6.94,6.78,7.04,6.73,8975976.0,61497633.0,000007.XSHE
2025-05-08,6.71,6.96,7.02,6.71,10131990.0,69865338.14,000007.XSHE
2025-05-09,6.97,7.1,7.15,6.88,9899300.0,69539895.0,000007.XSHE
